transaction_id,book_id,borrower_id,borrow_date,return_date
1,41,4,2026-03-31 00:00:00,2026-04-11 00:00:00
2,16,8,2025-12-04 00:00:00,2025-12-10 00:00:00
3,44,24,2024-10-14 00:00:00,2024-10-19 00:00:00
4,38,14,2026-03-24 00:00:00,2026-03-27 00:00:00
5,6,7,2025-08-30 00:00:00,2025-09-18 00:00:00
6,39,1,2024-09-28 00:00:00,2024-10-07 00:00:00
7,46,21,2024-10-14 00:00:00,2024-10-30 00:00:00
8,15,15,2024-08-30 00:00:00,2024-09-10 00:00:00
9,1,25,2025-11-13 00:00:00,2025-12-08 00:00:00
10,28,11,2025-07-15 00:00:00,2025-07-22 00:00:00
11,14,25,2025-05-16 00:00:00,2025-05-22 00:00:00
12,6,13,2026-01-16 00:00:00,2026-01-30 00:00:00
13,23,20,2025-07-29 00:00:00,2025-08-02 00:00:00
14,47,15,2024-10-23 00:00:00,2024-10-29 00:00:00
15,25,3,2024-10-07 00:00:00,2024-10-19 00:00:00
16,41,20,2025-04-20 00:00:00,2025-05-11 00:00:00
17,13,23,2026-02-13 00:00:00,2026-02-17 00:00:00
18,43,8,2025-07-03 00:00:00,2025-07-08 00:00:00
19,15,28,2026-01-12 00:00:00,2026-01-27 00:00:00
20,18,15,2024-07-14 00:00:00,2024-07-28 00:00:00
21,11,12,2025-04-27 00:00:00,2025-05-06 00:00:00
22,43,9,2024-05-26 00:00:00,2024-06-18 00:00:00
23,5,20,2024-07-14 00:00:00,2024-07-22 00:00:00
24,35,24,2025-08-18 00:00:00,2025-08-26 00:00:00
25,30,13,2025-07-23 00:00:00,2025-08-15 00:00:00
26,45,18,2025-09-13 00:00:00,2025-10-07 00:00:00
27,21,27,2026-02-27 00:00:00,2026-03-09 00:00:00
28,3,26,2025-06-06 00:00:00,2025-06-21 00:00:00
29,18,3,2025-09-21 00:00:00,2025-10-12 00:00:00
30,46,11,2025-09-20 00:00:00,2025-10-13 00:00:00
31,32,13,2024-07-06 00:00:00,2024-07-23 00:00:00
32,10,9,2025-12-04 00:00:00,2025-12-14 00:00:00
33,48,18,2024-10-21 00:00:00,2024-11-01 00:00:00
34,48,19,2025-02-11 00:00:00,2025-03-04 00:00:00
35,26,12,2025-09-13 00:00:00,2025-09-20 00:00:00
36,33,16,2026-01-22 00:00:00,2026-01-26 00:00:00
37,8,5,2024-07-22 00:00:00,2024-07-30 00:00:00
38,44,14,2024-08-23 00:00:00,2024-08-28 00:00:00
39,25,13,2024-08-23 00:00:00,2024-09-09 00:00:00
40,34,9,2024-10-06 00:00:00,2024-10-09 00:00:00
41,44,24,2025-12-29 00:00:00,2026-01-22 00:00:00
42,35,25,2025-07-26 00:00:00,2025-08-18 00:00:00
43,22,4,2025-06-29 00:00:00,2025-07-15 00:00:00
44,11,15,2026-04-22 00:00:00,2026-05-03 00:00:00
45,33,25,2025-10-25 00:00:00,2025-11-13 00:00:00
46,7,28,2024-07-24 00:00:00,2024-08-05 00:00:00
47,41,17,2024-08-10 00:00:00,2024-08-19 00:00:00
48,10,12,2025-11-11 00:00:00,2025-12-01 00:00:00
49,50,30,2024-10-29 00:00:00,2024-11-01 00:00:00
50,39,11,2024-12-11 00:00:00,2024-12-14 00:00:00
51,8,30,2025-04-19 00:00:00,2025-05-01 00:00:00
52,16,2,2025-08-22 00:00:00,2025-09-12 00:00:00
53,6,3,2024-12-14 00:00:00,2024-12-19 00:00:00
54,49,18,2025-12-18 00:00:00,2025-12-25 00:00:00
55,43,16,2024-10-10 00:00:00,2024-10-18 00:00:00
56,17,17,2024-08-12 00:00:00,2024-08-28 00:00:00
57,14,30,2024-10-20 00:00:00,2024-11-14 00:00:00
58,13,23,2025-06-10 00:00:00,2025-06-25 00:00:00
59,43,21,2025-04-08 00:00:00,2025-04-25 00:00:00
60,34,15,2025-12-23 00:00:00,2026-01-02 00:00:00
61,15,3,2025-05-14 00:00:00,2025-05-17 00:00:00
62,38,18,2025-09-02 00:00:00,2025-09-23 00:00:00
63,15,1,2026-02-12 00:00:00,2026-03-09 00:00:00
64,41,2,2025-09-03 00:00:00,2025-09-08 00:00:00
65,3,28,2025-05-22 00:00:00,2025-05-27 00:00:00
66,33,8,2025-07-14 00:00:00,2025-08-07 00:00:00
67,32,7,2024-10-20 00:00:00,2024-10-27 00:00:00
68,47,30,2024-09-18 00:00:00,2024-10-09 00:00:00
69,31,8,2024-12-27 00:00:00,2025-01-12 00:00:00
70,13,4,2026-01-16 00:00:00,2026-02-09 00:00:00
71,28,12,2025-02-16 00:00:00,2025-03-04 00:00:00
72,30,28,2026-03-01 00:00:00,2026-03-25 00:00:00
73,42,21,2026-01-15 00:00:00,2026-01-19 00:00:00
74,26,24,2025-05-13 00:00:00,2025-05-19 00:00:00
75,16,7,2025-10-13 00:00:00,2025-11-02 00:00:00
76,29,5,2025-02-17 00:00:00,2025-02-25 00:00:00
77,18,15,2025-08-13 00:00:00,2025-08-18 00:00:00
78,29,26,2024-10-09 00:00:00,2024-10-15 00:00:00
79,4,21,2024-10-19 00:00:00,2024-10-22 00:00:00
80,6,30,2025-08-26 00:00:00,2025-09-03 00:00:00
81,27,16,2024-12-19 00:00:00,2024-12-28 00:00:00
82,26,29,2026-02-24 00:00:00,2026-03-04 00:00:00
83,25,1,2025-03-22 00:00:00,2025-04-02 00:00:00
84,30,10,2025-02-16 00:00:00,2025-03-13 00:00:00
85,47,26,2024-10-03 00:00:00,2024-10-27 00:00:00
86,46,16,2025-11-18 00:00:00,2025-11-27 00:00:00
87,19,7,2026-02-25 00:00:00,2026-03-18 00:00:00
88,48,18,2026-02-22 00:00:00,2026-03-07 00:00:00
89,4,2,2024-09-04 00:00:00,2024-09-22 00:00:00
90,33,30,2024-10-29 00:00:00,2024-11-06 00:00:00
91,4,17,2026-02-02 00:00:00,2026-02-10 00:00:00
92,5,20,2026-02-15 00:00:00,2026-03-11 00:00:00
93,16,13,2025-12-24 00:00:00,2026-01-14 00:00:00
94,16,19,2024-08-25 00:00:00,2024-08-29 00:00:00
95,40,3,2025-02-20 00:00:00,2025-03-16 00:00:00
96,38,19,2024-11-06 00:00:00,2024-11-19 00:00:00
97,17,7,2024-06-09 00:00:00,2024-07-04 00:00:00
98,21,8,2025-07-28 00:00:00,2025-08-12 00:00:00
99,9,22,2024-07-04 00:00:00,2024-07-16 00:00:00
100,30,11,2026-02-10 00:00:00,2026-02-13 00:00:00
101,30,20,2024-09-26 00:00:00,2024-10-02 00:00:00
102,5,18,2025-09-19 00:00:00,2025-10-08 00:00:00
